date,rate
2022-08-03,136.8800048828125
2022-08-04,136.85000610351562
2022-08-05,135.0500030517578
2022-08-08,136.8699951171875
2022-08-09,137.2899932861328
2022-08-10,136.9499969482422
2022-08-11,135.72999572753906
2022-08-12,135.44000244140625
2022-08-15,136.52999877929688
2022-08-16,137.77000427246094
2022-08-17,137.64999389648438
2022-08-18,137.75999450683594
2022-08-19,138.9499969482422
2022-08-22,140.11000061035156
2022-08-23,140.64999389648438
2022-08-24,140.07000732421875
2022-08-25,140.4499969482422
2022-08-26,140.33999633789062
2022-08-29,141.27999877929688
2022-08-30,141.4499969482422
2022-08-31,141.0500030517578
2022-09-01,140.83999633789062
2022-09-02,141.8800048828125
2022-09-05,142.0500030517578
2022-09-06,142.9199981689453
2022-09-07,142.64999389648438
2022-09-08,140.4600067138672
2022-09-09,139.66000366210938
2022-09-12,139.72999572753906
2022-09-13,138.41000366210938
2022-09-14,139.8800048828125
2022-09-15,139.25
2022-09-16,138.11000061035156
2022-09-19,139.0800018310547
2022-09-20,140.38999938964844
2022-09-21,140.6199951171875
2022-09-22,142.42999267578125
2022-09-23,142.08999633789062
2022-09-26,143.7100067138672
2022-09-27,143.83999633789062
2022-09-28,145.08999633789062
2022-09-29,144.02000427246094
2022-09-30,142.42999267578125
2022-10-03,144.0
2022-10-04,144.02000427246094
2022-10-05,141.8300018310547
2022-10-06,141.7100067138672
2022-10-07,142.2100067138672
2022-10-10,144.02999877929688
2022-10-11,144.61000061035156
2022-10-12,144.97000122070312
2022-10-13,144.02000427246094
2022-10-14,143.6999969482422
2022-10-17,143.9600067138672
2022-10-18,143.0399932861328
2022-10-19,143.1699981689453
2022-10-20,144.17999267578125
2022-10-21,144.0
2022-10-24,143.83999633789062
2022-10-25,143.83999633789062
2022-10-26,143.13999938964844
2022-10-27,141.6999969482422
2022-10-28,143.47999572753906
2022-10-31,143.5
2022-11-01,144.64999389648438
2022-11-02,144.97000122070312
2022-11-03,146.32000732421875
2022-11-04,148.3300018310547
2022-11-07,145.80999755859375
2022-11-08,145.33999633789062
2022-11-09,145.02999877929688
2022-11-10,146.3300018310547
2022-11-11,145.00999450683594
2022-11-14,144.11000061035156
2022-11-15,145.94000244140625
2022-11-16,143.85000610351562
2022-11-17,142.9600067138672
2022-11-18,143.39999389648438
2022-11-21,143.9199981689453
2022-11-22,143.47999572753906
2022-11-23,141.58999633789062
2022-11-24,140.5399932861328
2022-11-25,140.4600067138672
2022-11-28,140.5399932861328
2022-11-29,141.91000366210938
2022-11-30,142.19000244140625
2022-12-01,143.27999877929688
2022-12-02,141.1999969482422
2022-12-05,140.8000030517578
2022-12-06,141.5500030517578
2022-12-07,141.9600067138672
2022-12-08,141.7100067138672
2022-12-09,141.1199951171875
2022-12-12,141.6199951171875
2022-12-13,142.6699981689453
2022-12-14,141.72000122070312
2022-12-15,141.0399932861328
2022-12-16,141.3800048828125
2022-12-19,142.60000610351562
2022-12-20,142.4600067138672
2022-12-21,142.27999877929688
2022-12-22,143.27000427246094
2022-12-23,143.3800048828125
2022-12-26,143.16000366210938
2022-12-27,142.82000732421875
2022-12-28,142.69000244140625
2022-12-29,142.60000610351562
2022-12-30,142.1999969482422
2023-01-02,141.25
2023-01-03,141.77999877929688
2023-01-04,143.5399932861328
2023-01-05,142.72000122070312
2023-01-06,144.44000244140625
2023-01-09,143.36000061035156
2023-01-10,143.66000366210938
2023-01-11,143.75999450683594
2023-01-12,143.0399932861328
2023-01-13,141.7899932861328
2023-01-16,142.13999938964844
2023-01-17,142.36000061035156
2023-01-18,142.88999938964844
2023-01-19,142.7899932861328
2023-01-20,142.32000732421875
2023-01-23,142.02999877929688
2023-01-24,142.19000244140625
2023-01-25,143.44000244140625
2023-01-26,143.5399932861328
2023-01-27,143.00999450683594
2023-01-30,142.3300018310547
2023-01-31,140.6300048828125
2023-02-01,140.85000610351562
2023-02-02,139.1199951171875
2023-02-03,140.42999267578125
2023-02-06,141.89999389648438
2023-02-07,142.22000122070312
2023-02-08,141.47000122070312
2023-02-09,140.88999938964844
2023-02-10,140.38999938964844
2023-02-13,142.3300018310547
2023-02-14,142.39999389648438
2023-02-15,142.50999450683594
2023-02-16,143.66000366210938
2023-02-17,144.55999755859375
2023-02-20,143.82000732421875
2023-02-21,144.52999877929688
2023-02-22,144.55999755859375
2023-02-23,143.8699951171875
2023-02-24,143.75999450683594
2023-02-27,144.47999572753906
2023-02-28,143.25999450683594
2023-03-01,143.69000244140625
2023-03-02,141.72999572753906
2023-03-03,142.25
2023-03-06,140.64999389648438
2023-03-07,139.8000030517578
2023-03-08,141.8000030517578
2023-03-09,141.7899932861328
2023-03-10,141.33999633789062
2023-03-13,140.97999572753906
2023-03-14,140.58999633789062
2023-03-15,139.8000030517578
2023-03-16,141.52000427246094
2023-03-17,140.74000549316406
2023-03-20,139.85000610351562
2023-03-21,139.74000549316406
2023-03-22,139.02000427246094
2023-03-23,137.61000061035156
2023-03-24,138.0500030517578
2023-03-27,138.97000122070312
2023-03-28,137.49000549316406
2023-03-29,136.52000427246094
2023-03-30,136.27000427246094
2023-03-31,135.52000427246094
2023-04-03,137.5500030517578
2023-04-04,136.55999755859375
2023-04-05,135.9499969482422
2023-04-06,136.82000732421875
2023-04-07,136.8000030517578
2023-04-10,136.8800048828125
2023-04-11,137.42999267578125
2023-04-12,136.4600067138672
2023-04-13,135.83999633789062
2023-04-14,134.6199951171875
2023-04-17,135.99000549316406
2023-04-18,136.72000122070312
2023-04-19,135.9199981689453
2023-04-20,136.2100067138672
2023-04-21,136.00999450683594
2023-04-24,136.25999450683594
2023-04-25,135.6300048828125
2023-04-26,135.8699951171875
2023-04-27,135.4199981689453
2023-04-28,134.83999633789062
2023-05-01,135.6699981689453
2023-05-02,136.17999267578125
2023-05-03,136.02999877929688
2023-05-04,135.32000732421875
2023-05-05,135.91000366210938
2023-05-08,135.92999267578125
2023-05-09,137.1300048828125
2023-05-10,136.97000122070312
2023-05-11,136.1699981689453
